mls_listing_number,address,list_price,total_bedrooms,total_bathrooms,total_square_feet,property_type,architecture_style,neighborhood_name,school_district_name,elementary_school_name,middle_school_name,high_school_name,listing_description,views
SF196733,"3026 Kirkham St, San Francisco, CA",1450000,3,3.5,1800,Single Family,Tudor,Inner Sunset,San Francisco Unified School District,Grattan Elementary,Presidio Middle School,Galileo High School,"Welcome to this stunning Tudor home nestled in the heart of Inner Sunset. This sun-soaked 3-bedroom, 3.5-bath residence offers 1,800 sq ft of thoughtfully designed living space soaking in city views. The updated kitchen with gas range and subway tile backsplash anchors the main floor, opening to a landscaped patio. Original architectural details — including bay windows and wainscoting — have been lovingly preserved. Sun-soaked primary suite with spa bath. In-unit laundry closet and 1-car garage complete the package. Enjoy breathtaking city views from the living areas and primary suite. Steps from Inner Sunset's best cafés and parks.",City View
SF140490,"2629 Dolores St, San Francisco, CA",2325000,6,6.5,2650,Multi Family,Spanish Colonial,Mission District,San Francisco Unified School District,Daniel Webster Elementary,James Lick Middle School,John O'Connell High School,"Investor special or perfect for multigenerational living — a fully updated Spanish Colonial triplex in sought-after Mission District. 6 bedrooms and 6.5 baths across 2,650 sq ft. Both units feature in-unit laundry, updated kitchens, and separate meters. 1-car parking, separate utilities, and a shared rear garden. Trophy Mission District address with strong cap rate potential. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF918696,"1846 24th St, San Francisco, CA",2125000,4,4.0,1950,Multi Family,Spanish Colonial,Mission District,San Francisco Unified School District,Daniel Webster Elementary,James Lick Middle School,Mission High School,"Prime Mission District two-unit building — a rare turnkey investment or owner-occupy opportunity. This Spanish Colonial building offers 4 total bedrooms, 4.0 baths, and 1,950 sq ft of living space. Each unit features remodeled kitchens and bathrooms, and in-unit laundry. Building includes EV-ready garage and an expansive yard. Strong rental history in one of SF's most desirable neighborhoods.",None
SF598190,"1061 Clement St #18B, San Francisco, CA",1325000,0,1.0,1200,Condo,Contemporary,Inner Richmond,San Francisco Unified School District,Lafayette Elementary,Presidio Middle School,Galileo High School,"Sophisticated 0BD/1.0BA contemporary condo in the heart of Inner Richmond. This light-filled 1,200 sq ft residence features gourmet kitchen with waterfall island and wine refrigerator, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. Dedicated laundry room, 1-car garage, and a sunny deck round out this exceptional offering. Walk to Inner Richmond's parks, cafés, and transit.",None
SF251783,"351 Hudson Ave, San Francisco, CA",900000,2,2.5,1050,Condo,Art Deco,Bayview,San Francisco Unified School District,Malcolm X Academy,Hoover Middle School,Balboa High School,"Modern living in the vibrant Bayview neighborhood. This sleek 2BD/2.5BA art deco condo (1,050 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and an expansive yard. Light-filled throughout with double-pane windows for sound insulation. Building features concierge, fitness center, and guest suite. In-unit laundry closet and 1-car parking included. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF483094,"2274 Surrey St, San Francisco, CA",1925000,3,4.0,2050,Single Family,Mid-Century Modern,Glen Park,San Francisco Unified School District,Sunnyside Elementary,Aptos Middle School,Mission High School,"Welcome to this stunning Mid-Century Modern home nestled in the heart of Glen Park. This naturally lit 3-bedroom, 4.0-bath residence offers 2,050 sq ft of thoughtfully designed living space. The fully remodeled kitchen with custom cabinetry and quartz countertops anchors the main floor, opening to a wrap-around deck. Original architectural details — including bay windows and wainscoting — have been lovingly preserved. Naturally lit primary suite with spa bath. In-unit washer/dryer and tandem garage complete the package. Steps from Glen Park's top-rated schools and green spaces.",None
SF861420,"1655 Fillmore St, San Francisco, CA",1850000,3,4.0,4150,Multi Family,Edwardian,Lower Haight,San Francisco Unified School District,Buena Vista Elementary,Everett Middle School,Mission High School,"Prime Lower Haight triplex — a rare turnkey investment or owner-occupy opportunity. This Edwardian building offers 3 total bedrooms, 4.0 baths, and 4,150 sq ft of living space. Each unit features updated kitchens, hardwood floors, and high ceilings. Building includes 1-car garage and a private rear garden. Strong rental history in one of SF's most desirable neighborhoods. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF277581,"2341 Sanchez St, San Francisco, CA",1575000,4,5.0,1650,Single Family,Victorian,Noe Valley,San Francisco Unified School District,Douglass Elementary,James Lick Middle School,Wallenberg Traditional High School,"Exceptional Victorian 4BD/5.0BA in coveted Noe Valley. Spanning 1,650 sq ft, this sun-soaked home features chef's kitchen with Carrara marble countertops and stainless appliances, gleaming hardwood floors, and a charming Juliet balcony. The spacious primary suite offers a private deck and ensuite bath. Additional highlights: in-unit laundry closet, EV-ready garage, formal dining room, and a statement fireplace in the living room. Situated on a sunny corner lot in Noe Valley — sunny, family-friendly village feel with boutiques and cafés.",None
SF826083,"2099 Christmas Tree Point Rd, San Francisco, CA",1150000,2,2.0,1050,Condo,Contemporary,Twin Peaks,San Francisco Unified School District,Glen Park Elementary,James Lick Middle School,Abraham Lincoln High School,"Modern living in the vibrant Twin Peaks neighborhood. This sleek 2BD/2.0BA contemporary condo (1,050 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and a private rear garden. Naturally lit throughout with skylights in the primary bath. Building features gym, rooftop, and storage. In-unit washer/dryer and 1-car parking included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF126928,"1992 Pierce St, San Francisco, CA",1325000,1,2.0,1400,Condo,Modern,Lower Haight,San Francisco Unified School District,Buena Vista Elementary,Presidio Middle School,Galileo High School,"Sophisticated 1BD/2.0BA modern condo in the heart of Lower Haight. This light-filled 1,400 sq ft residence features fully remodeled kitchen with custom cabinetry and quartz countertops, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a spa-inspired bath with dual vanity. Dedicated laundry room, 1-car garage, and a charming Juliet balcony round out this exceptional offering. Walk to Lower Haight's best dining and boutiques.",None
SF923280,"147 18th St, San Francisco, CA",850000,3,3.0,850,Condo,Victorian,Potrero Hill,San Francisco Unified School District,Bryant Elementary,James Lick Middle School,Mission High School,"Welcome to unit #16C — a naturally lit 3BD/3.0BA residence in one of Potrero Hill's most desirable buildings. At 850 sq ft, this victorian condo offers fully remodeled kitchen with custom cabinetry and quartz countertops, custom built-ins, and heated tile floors. Amenities include bike storage and package room. Dedicated laundry room, 2-car garage. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF173380,"622 Geary Blvd #19C, San Francisco, CA",1800000,5,5.0,1950,Single Family,Spanish Colonial,Inner Richmond,San Francisco Unified School District,Argonne Elementary,Roosevelt Middle School,George Washington High School,"Exceptional Spanish Colonial 5BD/5.0BA in coveted Inner Richmond. Spanning 1,950 sq ft, this light-filled home features updated kitchen with gas range and subway tile backsplash, gleaming hardwood floors, and a wrap-around deck. The spacious primary suite offers a private deck and ensuite bath. Additional highlights: in-unit washer/dryer, 1-car garage, formal dining room, and a cozy wood-burning fireplace. Situated on a quiet tree-lined block in Inner Richmond — diverse, quiet neighborhood with authentic dining and proximity to the park. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF303351,"3888 Surrey St, San Francisco, CA",1375000,5,5.0,2500,Single Family,Victorian,Glen Park,San Francisco Unified School District,Glen Park Elementary,Aptos Middle School,Abraham Lincoln High School,"Exceptional Victorian 5BD/5.0BA in coveted Glen Park. Spanning 2,500 sq ft, this light-filled home features fully remodeled kitchen with custom cabinetry and quartz countertops, gleaming hardwood floors, and a rooftop terrace. The spacious primary suite offers an ensuite bath with soaking tub. Additional highlights: in-unit washer/dryer, 1-car parking, formal dining room, and a gas fireplace for cool SF evenings. Situated on a wide flat lot in Glen Park — tucked-away village with canyon trails and strong neighborhood identity. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF229490,"2812 Taylor St, San Francisco, CA",1650000,3,3.0,1700,Condo,Edwardian,Russian Hill,San Francisco Unified School District,Garfield Elementary,Marina Middle School,Galileo High School,"Welcome to unit #14A — a sun-soaked 3BD/3.0BA residence in one of Russian Hill's most desirable buildings. At 1,700 sq ft, this edwardian condo offers chef's kitchen with Carrara marble countertops and stainless appliances, custom built-ins, and polished concrete floors. Amenities include a rooftop lounge. Washer/dryer hookups, 1-car garage. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF998244,"1827 Sanchez St, San Francisco, CA",1275000,3,3.5,1400,Condo,Loft,Castro,San Francisco Unified School District,Harvey Milk Civil Rights Academy,James Lick Middle School,Mission High School,"Modern living in the vibrant Castro neighborhood. This sleek 3BD/3.5BA loft condo (1,400 sq ft) features bright eat-in kitchen with breakfast nook and garden window, Bosch appliances, and a rooftop terrace. Sun-drenched throughout with oversized windows flooding rooms with natural light. Building features gym, rooftop, and storage. In-unit washer/dryer and 1-car parking included.",None
SF911188,"3222 Lincoln Way, San Francisco, CA",1700000,3,3.0,2450,Single Family,Victorian,Inner Sunset,San Francisco Unified School District,Clarendon Elementary,Presidio Middle School,Galileo High School,"Welcome to this stunning Victorian home nestled in the heart of Inner Sunset. This light-filled 3-bedroom, 3.0-bath residence offers 2,450 sq ft of thoughtfully designed living space soaking in park views. The gourmet kitchen with waterfall island and wine refrigerator anchors the main floor, opening to a private rear garden. Original architectural details — including original fireplace mantel and picture rails — have been lovingly preserved. Light-filled primary suite with spa bath. In-unit washer/dryer and tandem garage complete the package. Enjoy breathtaking park views from the living areas and primary suite. Steps from Inner Sunset's best cafés and parks.",Park View
SF270701,"1848 Jones St #5C, San Francisco, CA",2925000,4,4.5,3400,Multi Family,Victorian,Nob Hill,San Francisco Unified School District,Spring Valley Elementary,Francisco Middle School,City Arts & Tech High School,"Prime Nob Hill duplex — a rare turnkey investment or owner-occupy opportunity. This Victorian building offers 4 total bedrooms, 4.5 baths, and 3,400 sq ft of living space. Each unit features updated kitchens, hardwood floors, and high ceilings. Building includes 1-car garage and a rooftop terrace. Strong rental history in one of SF's most desirable neighborhoods. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF880574,"3092 Sanchez St, San Francisco, CA",2275000,3,4.0,1550,Townhouse,Edwardian,Castro,San Francisco Unified School District,Sanchez Elementary,Everett Middle School,Mission High School,"Stunning 3BD/4.0BA Edwardian townhouse in Castro — the best of both worlds: the space of a home with the ease of condo living. Spanning 1,550 sq ft across four levels, this sun-drenched residence features gourmet kitchen with waterfall island and wine refrigerator, a private rooftop deck, and 1-car garage. Open living/dining on the main level flows to a sunny deck. The primary suite occupies its own floor with a spa bath, dual vanities, and walk-in closet. In-unit washer/dryer on bedroom level.",None
SF765661,"658 3rd St #18B, San Francisco, CA",575000,0,1.0,1050,Condo,Victorian,Dogpatch,San Francisco Unified School District,Daniel Webster Elementary,Francisco Middle School,John O'Connell High School,"Sophisticated 0BD/1.0BA victorian condo in the heart of Dogpatch. This bright and airy 1,050 sq ft residence features updated kitchen with gas range and subway tile backsplash, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a spa-inspired bath with dual vanity. Dedicated laundry room, deeded parking, and a sunny deck round out this exceptional offering. Enjoy breathtaking garden views from the living areas and primary suite. Walk to Dogpatch's best dining and boutiques.",Garden View
SF900728,"1674 Clement St, San Francisco, CA",2550000,6,7.0,3950,Multi Family,Edwardian,Inner Richmond,San Francisco Unified School District,Lafayette Elementary,Presidio Middle School,George Washington High School,"Prime Inner Richmond triplex — a rare turnkey investment or owner-occupy opportunity. This Edwardian building offers 6 total bedrooms, 7.0 baths, and 3,950 sq ft of living space. Each unit features updated kitchens, hardwood floors, and high ceilings. Building includes 1-car garage and a sunny deck. Strong rental history in one of SF's most desirable neighborhoods.",None
SF349303,"2349 Arguello Blvd, San Francisco, CA",1400000,2,2.0,1750,Condo,Victorian,Inner Richmond,San Francisco Unified School District,Argonne Elementary,Roosevelt Middle School,George Washington High School,"Welcome to unit #2D — a light-filled 2BD/2.0BA residence in one of Inner Richmond's most desirable buildings. At 1,750 sq ft, this victorian condo offers fully remodeled kitchen with custom cabinetry and quartz countertops, custom built-ins, and wide-plank white oak floors. Amenities include bike storage and package room. In-unit laundry closet, 2-car garage. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF128300,"1576 Waller St #28C, San Francisco, CA",1950000,6,7.0,4550,Multi Family,Mid-Century Modern,Lower Haight,San Francisco Unified School District,Buena Vista Elementary,Everett Middle School,Galileo High School,"Investor special or perfect for multigenerational living — a fully updated Mid-Century Modern duplex in sought-after Lower Haight. 6 bedrooms and 7.0 baths across 4,550 sq ft. Both units feature spacious living areas, updated baths, and abundant storage. 2-car garage, separate utilities, and a generous garage with storage. Trophy Lower Haight address with strong cap rate potential. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF430407,"1226 Burnett Ave #29, San Francisco, CA",1200000,0,1.0,550,Condo,Loft,Twin Peaks,San Francisco Unified School District,Glen Park Elementary,James Lick Middle School,Mission High School,"Modern living in the vibrant Twin Peaks neighborhood. This sleek 0BD/1.0BA loft condo (550 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a private rear garden. Sun-drenched throughout with skylights in the primary bath. Building features gym, rooftop, and storage. Washer/dryer hookups and deeded parking included. Enjoy breathtaking panoramic city views from the living areas and primary suite.",Panoramic City View
SF175626,"3024 Italy Ave, San Francisco, CA",650000,2,2.5,650,Condo,High-Rise,Excelsior,San Francisco Unified School District,Guadalupe Elementary,Hoover Middle School,Balboa High School,"Sophisticated 2BD/2.5BA high-rise condo in the heart of Excelsior. This naturally lit 650 sq ft residence features bright eat-in kitchen with breakfast nook and garden window, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. In-unit washer/dryer, deeded parking, and a landscaped patio round out this exceptional offering. Enjoy breathtaking garden views from the living areas and primary suite. Walk to Excelsior's Michelin-starred restaurants and nightlife.",Garden View
SF496809,"2531 Washington St #28C, San Francisco, CA",2125000,3,3.5,1700,Townhouse,Edwardian,Pacific Heights,San Francisco Unified School District,McKinley Elementary,Presidio Middle School,George Washington High School,"Stunning 3BD/3.5BA Edwardian townhouse in Pacific Heights — the best of both worlds: the space of a home with the ease of condo living. Spanning 1,700 sq ft across three levels, this naturally lit residence features updated kitchen with gas range and subway tile backsplash, a private rooftop deck, and tandem garage. Open living/dining on the main level flows to a sunny deck. The primary suite occupies its own floor with a spa bath, dual vanities, and walk-in closet. Washer/dryer hookups on bedroom level. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF318544,"3848 Vallejo St #10A, San Francisco, CA",2850000,4,5.0,1700,Townhouse,Craftsman,Pacific Heights,San Francisco Unified School District,McKinley Elementary,Presidio Middle School,Galileo High School,"Exceptional end-unit Craftsman townhouse in the heart of Pacific Heights. 4 bedrooms, 5.0 baths, 1,700 sq ft. Designed for modern living with designer kitchen with integrated appliances and pantry, open-plan great room, and a charming Juliet balcony. Generous primary suite with ensuite bath and custom built-ins. Tandem garage, in-unit laundry closet, smart home features throughout. Enjoy breathtaking city views from the living areas and primary suite. Walk to Pacific Heights's acclaimed farmers market and green spaces.",City View
SF321398,"1018 Webster St #12C, San Francisco, CA",2350000,2,3.0,3350,Single Family,Modern Farmhouse,Lower Haight,San Francisco Unified School District,Buena Vista Elementary,Everett Middle School,Galileo High School,"Welcome to this stunning Modern Farmhouse home nestled in the heart of Lower Haight. This light-filled 2-bedroom, 3.0-bath residence offers 3,350 sq ft of thoughtfully designed living space. The gourmet kitchen with waterfall island and wine refrigerator anchors the main floor, opening to an expansive yard. Original architectural details — including bay windows and wainscoting — have been lovingly preserved. Light-filled primary suite with spa bath. In-unit washer/dryer and 1-car parking complete the package. Steps from Lower Haight's best cafés and parks.",None
SF496206,"2880 Townsend St #2A, San Francisco, CA",800000,1,2.0,850,Condo,Victorian,SOMA,San Francisco Unified School District,Bessie Carmichael Elementary,Hoover Middle School,City Arts & Tech High School,"Modern living in the vibrant SOMA neighborhood. This sleek 1BD/2.0BA victorian condo (850 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a landscaped patio. Sun-soaked throughout with oversized windows flooding rooms with natural light. Building features gym, rooftop, and storage. In-unit laundry closet and 1-car parking included. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF753001,"79 Vallejo St, San Francisco, CA",1875000,3,3.5,1750,Condo,Modern,Pacific Heights,San Francisco Unified School District,Sherman Elementary,Marina Middle School,Galileo High School,"Modern living in the vibrant Pacific Heights neighborhood. This sleek 3BD/3.5BA modern condo (1,750 sq ft) features chef's kitchen with Carrara marble countertops and stainless appliances, Bosch appliances, and a shared roof deck with panoramic views. Naturally lit throughout with double-pane windows for sound insulation. Building features concierge, fitness center, and guest suite. In-unit washer/dryer and deeded parking included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF386920,"3890 Vicente St, San Francisco, CA",1350000,1,1.5,1650,Condo,Victorian,West Portal,San Francisco Unified School District,West Portal Elementary,Aptos Middle School,George Washington High School,"Sophisticated 1BD/1.5BA victorian condo in the heart of West Portal. This naturally lit 1,650 sq ft residence features bright eat-in kitchen with breakfast nook and garden window, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a spa-inspired bath with dual vanity. In-unit laundry closet, EV-ready garage, and an expansive yard round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to West Portal's parks, cafés, and transit.",City View
SF908673,"2399 Fulton St, San Francisco, CA",1600000,3,4.5,2300,Townhouse,Modern,Outer Richmond,San Francisco Unified School District,Francis Scott Key Elementary,Roosevelt Middle School,Abraham Lincoln High School,"Exceptional end-unit Modern townhouse in the heart of Outer Richmond. 3 bedrooms, 4.5 baths, 2,300 sq ft. Designed for modern living with updated kitchen with gas range and subway tile backsplash, open-plan great room, and a shared roof deck with panoramic views. Generous primary suite with spa bath and walk-in closet. Tandem garage, in-unit washer/dryer, smart home features throughout. Walk to Outer Richmond's acclaimed restaurants, parks, and Muni.",None
SF744792,"3426 Oak St, San Francisco, CA",1650000,2,2.0,1400,Condo,Loft,Hayes Valley,San Francisco Unified School District,Buena Vista Elementary,Everett Middle School,Galileo High School,"Modern living in the vibrant Hayes Valley neighborhood. This sleek 2BD/2.0BA loft condo (1,400 sq ft) features fully remodeled kitchen with custom cabinetry and quartz countertops, Bosch appliances, and a wrap-around deck. Naturally lit throughout with skylights in the primary bath. Building features concierge, fitness center, and guest suite. In-unit washer/dryer and 2-car garage included.",None
SF416378,"3395 Union St, San Francisco, CA",1925000,5,5.0,1500,Single Family,Tudor,Russian Hill,San Francisco Unified School District,Garfield Elementary,Marina Middle School,George Washington High School,"Rare opportunity to own a meticulously restored Tudor in Russian Hill. This 5-bed, 5.0-bath home (1,500 sq ft) balances period character with modern updates. The updated kitchen with gas range and subway tile backsplash leads to an expansive yard, ideal for entertaining. Upstairs, the sun-drenched primary bedroom features period windows. Original oak floors throughout. 1-car garage and in-unit laundry closet. Enjoy breathtaking city views from the living areas and primary suite. Russian Hill is celebrated for iconic hilltop with Lombard Street, bay views, and charming pedestrian lanes — this home delivers it all.",City View
SF291202,"3806 Army St, San Francisco, CA",525000,3,4.0,550,Condo,Art Deco,Mission District,San Francisco Unified School District,Daniel Webster Elementary,Everett Middle School,John O'Connell High School,"Modern living in the vibrant Mission District neighborhood. This sleek 3BD/4.0BA art deco condo (550 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a sunny deck. Light-filled throughout with double-pane windows for sound insulation. Building features gym, rooftop, and storage. Dedicated laundry room and tandem garage included. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF942657,"519 Christmas Tree Point Rd #14C, San Francisco, CA",2250000,2,3.0,3700,Single Family,Modern Farmhouse,Twin Peaks,San Francisco Unified School District,Miraloma Elementary,Aptos Middle School,Mission High School,"Welcome to this stunning Modern Farmhouse home nestled in the heart of Twin Peaks. This sun-soaked 2-bedroom, 3.0-bath residence offers 3,700 sq ft of thoughtfully designed living space soaking in panoramic city views. The designer kitchen with integrated appliances and pantry anchors the main floor, opening to a charming Juliet balcony. Original architectural details — including coffered ceilings and built-ins — have been lovingly preserved. Sun-soaked primary suite with spa bath. Washer/dryer hookups and deeded parking complete the package. Enjoy breathtaking panoramic city views from the living areas and primary suite. Steps from Twin Peaks's best cafés and parks.",Panoramic City View
SF205355,"2348 Claremont Blvd, San Francisco, CA",650000,2,3.0,1200,Condo,Contemporary,West Portal,San Francisco Unified School District,Miraloma Elementary,Hoover Middle School,Abraham Lincoln High School,"Welcome to unit #20C — a sun-soaked 2BD/3.0BA residence in one of West Portal's most desirable buildings. At 1,200 sq ft, this contemporary condo offers bright eat-in kitchen with breakfast nook and garden window, custom built-ins, and polished concrete floors. Amenities include a rooftop terrace and club room. Dedicated laundry room, tandem garage.",None
SF294853,"479 Diamond St, San Francisco, CA",1350000,1,2.0,800,Condo,Art Deco,Glen Park,San Francisco Unified School District,Sunnyside Elementary,Aptos Middle School,Abraham Lincoln High School,"Sophisticated 1BD/2.0BA art deco condo in the heart of Glen Park. This bright and airy 800 sq ft residence features chef's kitchen with Carrara marble countertops and stainless appliances, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. In-unit laundry closet, 2-car garage, and a rooftop terrace round out this exceptional offering. Enjoy breathtaking park views from the living areas and primary suite. Walk to Glen Park's Michelin-starred restaurants and nightlife.",Park View
SF513825,"2470 Balboa St, San Francisco, CA",2875000,5,5.5,3650,Single Family,Tudor,Outer Richmond,San Francisco Unified School District,Francis Scott Key Elementary,Roosevelt Middle School,George Washington High School,"Welcome to this stunning Tudor home nestled in the heart of Outer Richmond. This bright and airy 5-bedroom, 5.5-bath residence offers 3,650 sq ft of thoughtfully designed living space. The designer kitchen with integrated appliances and pantry anchors the main floor, opening to a charming Juliet balcony. Original architectural details — including bay windows and wainscoting — have been lovingly preserved. Bright and airy primary suite with spa bath. In-unit washer/dryer and 1-car parking complete the package. Steps from Outer Richmond's top-rated schools and green spaces.",None
SF157263,"774 Taylor St #9A, San Francisco, CA",2025000,3,4.0,1700,Condo,Edwardian,Nob Hill,San Francisco Unified School District,Spring Valley Elementary,Marina Middle School,Galileo High School,"Sophisticated 3BD/4.0BA edwardian condo in the heart of Nob Hill. This bright and airy 1,700 sq ft residence features gourmet kitchen with waterfall island and wine refrigerator, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. In-unit washer/dryer, EV-ready garage, and an expansive yard round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Nob Hill's Michelin-starred restaurants and nightlife.",City View
SF933953,"258 Oak St, San Francisco, CA",1375000,1,1.5,1150,Condo,High-Rise,Hayes Valley,San Francisco Unified School District,Buena Vista Elementary,Everett Middle School,Mission High School,"Modern living in the vibrant Hayes Valley neighborhood. This sleek 1BD/1.5BA high-rise condo (1,150 sq ft) features chef's kitchen with Carrara marble countertops and stainless appliances, Bosch appliances, and an expansive yard. Naturally lit throughout with double-pane windows for sound insulation. Building features secure entry, elevator, and bike room. In-unit laundry closet and 1-car parking included.",None
SF295872,"3051 Frederick St, San Francisco, CA",1600000,2,3.0,850,Condo,Contemporary,Cole Valley,San Francisco Unified School District,Harvey Milk Civil Rights Academy,Aptos Middle School,Abraham Lincoln High School,"Sophisticated 2BD/3.0BA contemporary condo in the heart of Cole Valley. This luminous 850 sq ft residence features fully remodeled kitchen with custom cabinetry and quartz countertops, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. In-unit washer/dryer, 1-car garage, and a wrap-around deck round out this exceptional offering. Enjoy breathtaking park views from the living areas and primary suite. Walk to Cole Valley's Michelin-starred restaurants and nightlife.",Park View
SF117359,"3225 Henry St, San Francisco, CA",1325000,4,4.5,1950,Single Family,Victorian,Duboce Triangle,San Francisco Unified School District,Sanchez Elementary,Everett Middle School,Mission High School,"Exceptional Victorian 4BD/4.5BA in coveted Duboce Triangle. Spanning 1,950 sq ft, this sun-drenched home features designer kitchen with integrated appliances and pantry, gleaming hardwood floors, and a shared roof deck with panoramic views. The spacious primary suite offers an ensuite bath with soaking tub. Additional highlights: dedicated laundry room, 1-car parking, formal dining room, and a statement fireplace in the living room. Situated on a quiet tree-lined block in Duboce Triangle — centrally located, leafy neighborhood popular with young professionals. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF176384,"2756 6th Ave, San Francisco, CA",1625000,1,1.0,900,Condo,Contemporary,Inner Richmond,San Francisco Unified School District,Lone Mountain Elementary,Presidio Middle School,Galileo High School,"Welcome to unit #16C — a naturally lit 1BD/1.0BA residence in one of Inner Richmond's most desirable buildings. At 900 sq ft, this contemporary condo offers bright eat-in kitchen with breakfast nook and garden window, custom built-ins, and polished concrete floors. Amenities include a rooftop terrace and club room. In-unit laundry closet, EV-ready garage.",None
SF757557,"1478 39th Ave #6A, San Francisco, CA",2700000,4,5.0,1700,Single Family,Mid-Century Modern,Outer Sunset,San Francisco Unified School District,Sunset Elementary,Aptos Middle School,Abraham Lincoln High School,"Exceptional Mid-Century Modern 4BD/5.0BA in coveted Outer Sunset. Spanning 1,700 sq ft, this sun-drenched home features updated kitchen with gas range and subway tile backsplash, gleaming hardwood floors, and a charming Juliet balcony. The spacious primary suite offers a walk-in closet and spa-inspired bath. Additional highlights: in-unit washer/dryer, tandem garage, formal dining room, and a cozy wood-burning fireplace. Situated on a quiet tree-lined block in Outer Sunset — relaxed, breezy neighborhood beloved for its ocean proximity and surf culture.",None
SF363079,"2250 Waller St #15C, San Francisco, CA",2225000,3,4.0,2150,Single Family,Tudor,Haight-Ashbury,San Francisco Unified School District,Clarendon Elementary,Presidio Middle School,Abraham Lincoln High School,"Welcome to this stunning Tudor home nestled in the heart of Haight-Ashbury. This luminous 3-bedroom, 4.0-bath residence offers 2,150 sq ft of thoughtfully designed living space soaking in park views. The designer kitchen with integrated appliances and pantry anchors the main floor, opening to a wrap-around deck. Original architectural details — including period moldings and hardwood floors — have been lovingly preserved. Luminous primary suite with spa bath. In-unit washer/dryer and tandem garage complete the package. Enjoy breathtaking park views from the living areas and primary suite. Steps from Haight-Ashbury's best cafés and parks.",Park View
SF507191,"1119 Bowdoin St, San Francisco, CA",975000,4,4.0,3200,Single Family,Edwardian,Portola,San Francisco Unified School District,Longfellow Elementary,Aptos Middle School,John O'Connell High School,"Rare opportunity to own a meticulously restored Edwardian in Portola. This 4-bed, 4.0-bath home (3,200 sq ft) balances period character with modern updates. The fully remodeled kitchen with custom cabinetry and quartz countertops leads to a rooftop terrace, ideal for entertaining. Upstairs, the sun-soaked primary bedroom features period windows. Original oak floors throughout. 1-car parking and in-unit washer/dryer. Portola is celebrated for quiet residential neighborhood with a growing arts scene and local charm — this home delivers it all.",None
SF708208,"2983 Judah St #7B, San Francisco, CA",975000,1,1.0,1150,Condo,High-Rise,Inner Sunset,San Francisco Unified School District,Clarendon Elementary,Presidio Middle School,Abraham Lincoln High School,"Sophisticated 1BD/1.0BA high-rise condo in the heart of Inner Sunset. This luminous 1,150 sq ft residence features fully remodeled kitchen with custom cabinetry and quartz countertops, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. In-unit washer/dryer, 2-car garage, and a shared roof deck with panoramic views round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Inner Sunset's Michelin-starred restaurants and nightlife.",City View
SF422980,"590 2nd St, San Francisco, CA",1050000,3,3.0,1500,Condo,High-Rise,SOMA,San Francisco Unified School District,Mira Loma Elementary,Hoover Middle School,City Arts & Tech High School,"Sophisticated 3BD/3.0BA high-rise condo in the heart of SOMA. This luminous 1,500 sq ft residence features updated kitchen with gas range and subway tile backsplash, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. Dedicated laundry room, deeded parking, and a landscaped patio round out this exceptional offering. Enjoy breathtaking bay views from the living areas and primary suite. Walk to SOMA's Michelin-starred restaurants and nightlife.",Bay View
